Date,Close,High,Low,Open,Volume,Return,Close_SMA_5,Close_STD_5,Volume_SMA_5,Momentum_5,Close_SMA_10,Close_STD_10,Volume_SMA_10,Momentum_10,Close_SMA_20,Close_STD_20,Volume_SMA_20,Momentum_20,Close_SMA_50,Close_STD_50,Volume_SMA_50,Momentum_50,Close_EMA_5,Close_EMA_10,Close_EMA_20,HL_PCT,OC_PCT,TrueRange,ATR_14,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_4,Close_Lag_5,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,BB_Width,Volume_Change,Volume_MA_Ratio,DayOfWeek,Month,DayOfMonth,Quarter,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4
2012-03-16,13.38082504272461,13.39418485775398,13.293979237023912,13.367463953511642,56363000,0.006027281909600335,13.386169242858887,0.11526576595826118,42443160.0,0.011616185758609454,13.237864017486572,0.18745466805302452,37861070.0,0.013663801841423684,13.33372802734375,0.1858359705478474,37793950.0,-0.007924828952946772,13.21768949508667,0.27618022585465357,43287390.0,0.0547655503888651,13.353479289654494,13.319167942317687,13.302965189139274,0.7488747548085801,-0.09985250663024008,0.100205620730069,0.17798585140740006,13.300658226013184,13.494393348693848,13.507755279541016,13.247214317321776,13.22717571258545,46.602048050249856,0.03204301551707722,0.029342855188906565,0.0027001603281706574,13.33372802734375,13.705399968439444,12.962056086248054,0.05574914087545502,0.024405581949902055,1.4913233467261295,4,3,16,1,0,0,0,0,1
2012-03-19,13.454306602478027,13.547832939698838,13.320699551593671,13.320699551593671,30276500,0.005491556725298663,13.427587699890136,0.08646035614426785,43235220.0,0.015632893089490008,13.273938274383545,0.1912719588813553,37691590.0,0.02755113642447049,13.328717517852784,0.18085390454354006,36595290.0,-0.007393121522139556,13.233989582061767,0.2651788596735953,43135614.0,0.06448175163425707,13.387088393929007,13.343738607801384,13.317378657076297,1.6881835297504846,-0.9930430072089184,0.22713338810516603,0.18466630160198058,13.38082504272461,13.300658226013184,13.494393348693848,13.507755279541016,13.247214317321776,48.59799181355833,0.040805375698727886,0.03163535929087083,0.009170016407857057,13.328717517852784,13.690425326939865,12.967009708765703,0.054274960603314056,-0.46283022550254604,0.8273332442508312,0,3,19,1,1,0,0,0,0
2012-03-20,13.741565704345703,13.788328242993344,13.367464120980973,13.38750575505151,61659600,0.021350717681338338,13.474349784851075,0.16667592525896177,48901940.0,0.017309347109568884,13.346754264831542,0.2178279694861709,40183320.0,0.05595459910175804,13.335731744766235,0.1942086853927678,37617125.0,0.010314067958460349,13.256970157623291,0.25815033671291615,43812868.0,0.09124680632694115,13.505247497401239,13.416070807173078,13.357777423482906,3.062708653929264,-2.5765619210496746,0.42086412201237167,0.19754963246782978,13.454306602478027,13.38082504272461,13.300658226013184,13.494393348693848,13.507755279541016,65.33326227257385,0.07012071017010513,0.039332429466717694,0.030788280703387433,13.335731744766235,13.724149115551771,12.9473143739807,0.05825212717524481,1.0365497993493302,1.6391364305485865,1,3,20,1,0,1,0,0,0
2012-03-21,13.694802284240724,13.795007899776513,13.594596668704938,13.734884275618333,39135200,-0.0034030634580591856,13.514431571960449,0.19447896286612992,48490900.0,0.014851274182420049,13.4195707321167,0.1973906428959084,40621700.0,0.05615678440893457,13.348424291610717,0.20916648227015674,37762925.0,0.018886381650334405,13.277412204742431,0.25131773639015825,43839342.0,0.08065387500226717,13.568432426347735,13.466749257549012,13.389875029269366,1.463410912490486,0.29268032167016067,0.2004112310715751,0.20136699587032453,13.741565704345703,13.454306602478027,13.38082504272461,13.300658226013184,13.494393348693848,63.36198913208688,0.0885590531216991,0.049177754197713974,0.03938129892398512,13.348424291610717,13.766757256151031,12.930091327070404,0.06267900321436887,-0.36530240222122756,1.0363392136599587,2,3,21,1,0,0,1,0,0
2012-03-22,13.614638328552246,13.741566133260209,13.54115488303387,13.594597968039803,32211700,-0.005853604456979022,13.577227592468262,0.15484986088225308,43929200.0,0.023606358212030942,13.466333484649658,0.18029682169552627,40177320.0,0.03556911394755713,13.353434610366822,0.21448482127639237,37873110.0,0.007414767817646606,13.298121356964112,0.23472173825491696,43573810.0,0.08231518684250094,13.58383439374924,13.493638179549599,13.411281057772497,1.4720277203841783,-0.14719715668402847,0.2004112502263382,0.20709299396195227,13.694802284240724,13.741565704345703,13.454306602478027,13.38082504272461,13.300658226013184,63.36183317898908,0.09560098286507213,0.058462399931185606,0.03713858293388652,13.353434610366822,13.782404252919607,12.924464967814037,0.06424858548672682,-0.17691234489666596,0.8505163690016478,3,3,22,1,0,0,0,1,0
2012-03-23,13.714841842651367,13.754923827966577,13.527790454208166,13.587914069272648,27646700,0.007359983547192472,13.644030952453614,0.11615097227531145,38185940.0,0.024962347154248832,13.51510009765625,0.17427329553772897,40314550.0,0.03686850017437293,13.366461372375488,0.22839452601835647,37894420.0,0.019364449456306776,13.317628021240234,0.22777552105836327,43477100.0,0.076559720019167,13.627503543383284,13.533857027386283,13.440191608713342,1.656113693211219,-0.9254774851576539,0.22713337375841114,0.2090011701046302,13.614638328552246,13.694802284240724,13.741565704345703,13.454306602478027,13.38082504272461,70.12979709431997,0.10802213711789932,0.06837434736852835,0.03964778974937097,13.366461372375488,13.823250424412201,12.909672320338775,0.06834853882580483,-0.14171869227640888,0.7295717944752815,4,3,23,1,0,0,0,0,1
2012-03-26,13.921934127807615,13.935295214826478,13.7950063494952,13.828409067042356,29098800,0.015099866810874829,13.737556457519531,0.11342832412034949,37950400.0,0.03475671687483772,13.582572078704834,0.18902295226765536,40592810.0,0.05093295800337372,13.388840627670287,0.2593525081856727,37490850.0,0.03321756807457965,13.3402077293396,0.23064276003398584,43437042.0,0.0882506003446002,13.72564707152473,13.604416500190162,13.48607184862708,1.007682295027285,-0.671782095121773,0.22045337217511118,0.21138752353450244,13.714841842651367,13.614638328552246,13.694802284240724,13.741565704345703,13.454306602478027,77.19959731413313,0.13304297146385835,0.08130807218759435,0.051734899276264,13.388840627670287,13.907545644041633,12.870135611298942,0.07748318630357803,0.052523447644746035,0.7761573824013059,0,3,26,1,1,0,0,0,0
2012-03-27,13.968700408935549,14.06222549481329,13.948658773025858,13.982061499542004,44476400,0.0033591798882686152,13.7829833984375,0.15375089939678252,34513760.0,0.01652902656631161,13.628666591644286,0.2220654510859896,41707850.0,0.034124480334100094,13.412555980682374,0.2894512390701415,37997215.0,0.035148453730794005,13.364925155639648,0.23044565247386745,43683696.0,0.09706180031830547,13.806664850661669,13.670649938143868,13.532036473418364,0.8130085008823392,0.0956502052109911,0.14029136700567513,0.21520506486439409,13.921934127807615,13.714841842651367,13.614638328552246,13.694802284240724,13.741565704345703,79.99987437465705,0.15486067354609467,0.09601859245929442,0.05884208108680025,13.412555980682374,13.991458458822656,12.833653502542091,0.08632246962831766,0.528461654776142,1.1705173655490277,1,3,27,1,0,1,0,0,0
2012-03-28,14.082267761230469,14.102309398037484,13.848453761883786,13.928619034928056,39839300,0.00813013014598507,13.86047649383545,0.19126335116855797,34654580.0,0.028292885793292477,13.68745403289795,0.2575488445324978,41572740.0,0.0435643453800405,13.452638530731202,0.3236983708830831,37677690.0,0.060362482815988994,13.388573837280273,0.24211913341991745,43672426.0,0.09166273856211848,13.898532487517937,13.745489542341431,13.584439453209992,1.8026616199741763,-1.0910794263223629,0.2538556361536983,0.21568208442413464,13.968700408935549,13.921934127807615,13.714841842651367,13.614638328552246,13.694802284240724,79.16651796229809,0.17924902466486436,0.1126646789004084,0.06658434576445596,13.452638530731202,14.100035272497367,12.805241788965036,0.09624829215283717,-0.10425978721299389,1.0573710861785848,2,3,28,1,0,0,1,0,0
2012-03-29,14.048860549926758,14.18914812753212,13.92861332673172,14.002096749875037,36518000,-0.002372289170334052,13.947320938110352,0.1446280052180656,35515840.0,0.03189377572108354,13.762274265289307,0.24083319918255192,39722520.0,0.05625302982752034,13.491050720214844,0.3469575547809421,37346125.0,0.05784699638137614,13.408481349945069,0.25460415729972347,43271316.0,0.07625363185330691,13.948641841654212,13.800647907356945,13.628670033849684,1.8544906177587357,-0.3328654298014582,0.26053480080040003,0.22427110308270023,14.082267761230469,13.968700408935549,13.921934127807615,13.714841842651367,13.614638328552246,76.3944566675183,0.1936490205124386,0.12886154722281445,0.06478747328962414,13.491050720214844,14.184965829776727,12.79713561065296,0.10287043225211936,-0.08336742864457958,0.9778256780321921,3,3,29,1,0,0,0,1,0
